Country,ISO Code,ISO Code 3166,Year,Electoral system for national legislature
Albania,AL,ALB,2021,List PR
Albania,AL,ALB,2017,List PR
Albania,AL,ALB,2013,List PR
Albania,AL,ALB,2009,List PR
Albania,AL,ALB,2005,MMP
Albania,AL,ALB,2001,MMP
Albania,AL,ALB,1997,Parallel
Albania,AL,ALB,1996,Parallel
Albania,AL,ALB,1992,MMP
Albania,AL,ALB,1991,TRS
Andorra,AD,AND,2019,Parallel
Andorra,AD,AND,2015,Parallel
Andorra,AD,AND,2011,Parallel
Austria,AT,AUT,2019,List PR
Austria,AT,AUT,2017,List PR
Austria,AT,AUT,2013,List PR
Austria,AT,AUT,2008,List PR
Austria,AT,AUT,2006,List PR
Austria,AT,AUT,2002,List PR
Austria,AT,AUT,1999,List PR
Austria,AT,AUT,1995,List PR
Austria,AT,AUT,1994,List PR
Belarus,BY,BLR,2019,FPTP
Belarus,BY,BLR,2016,FPTP
Belarus,BY,BLR,2012,TRS
Belarus,BY,BLR,2008,TRS
Belarus,BY,BLR,2004,TRS
Belarus,BY,BLR,2000,TRS
Belarus,BY,BLR,1995,TRS
Belgium,BE,BEL,2019,List PR
Belgium,BE,BEL,2014,List PR
Belgium,BE,BEL,2010,List PR
Belgium,BE,BEL,2007,List PR
Belgium,BE,BEL,2003,List PR
Belgium,BE,BEL,1999,List PR
Belgium,BE,BEL,1995,List PR
Belgium,BE,BEL,1991,List PR
Bosnia and Herzegovina,BA,BIH,2018,List PR
Bosnia and Herzegovina,BA,BIH,2014,List PR
Bosnia and Herzegovina,BA,BIH,2010,List PR
Bosnia and Herzegovina,BA,BIH,2006,List PR
Bosnia and Herzegovina,BA,BIH,2002,List PR
Bosnia and Herzegovina,BA,BIH,2000,List PR
Bosnia and Herzegovina,BA,BIH,1998,List PR
Bosnia and Herzegovina,BA,BIH,1996,List PR
Bulgaria,BG,BGR,2022,List PR
Bulgaria,BG,BGR,2021,List PR
Bulgaria,BG,BGR,2017,List PR
Bulgaria,BG,BGR,2014,List PR
Bulgaria,BG,BGR,2013,List PR
Bulgaria,BG,BGR,2009,Parallel
Bulgaria,BG,BGR,2005,List PR
Bulgaria,BG,BGR,2001,List PR
Bulgaria,BG,BGR,1997,List PR
Bulgaria,BG,BGR,1994,List PR
Bulgaria,BG,BGR,1991,List PR
Croatia,HR,HRV,2020,List PR
Croatia,HR,HRV,2016,List PR
Croatia,HR,HRV,2015,List PR
Croatia,HR,HRV,2011,List PR
Croatia,HR,HRV,2007,List PR
Croatia,HR,HRV,2003,List PR
Croatia,HR,HRV,2000,List PR
Croatia,HR,HRV,1995,Parallel
Croatia,HR,HRV,1992,Parallel
Cyprus,CY,CYP,2021,List PR
Cyprus,CY,CYP,2016,List PR
Cyprus,CY,CYP,2011,List PR
Cyprus,CY,CYP,2006,List PR
Cyprus,CY,CYP,2001,List PR
Cyprus,CY,CYP,1996,List PR
Cyprus,CY,CYP,1991,List PR
Cyprus,CY,CYP,1985,List PR
Cyprus,CY,CYP,1981,List PR
Cyprus (North),CP,,2022,List PR
Cyprus (North),CP,,2018,List PR
Cyprus (North),CP,,2005,List PR
Czech Republic,CZ,CZE,2021,List PR
Czech Republic,CZ,CZE,2017,List PR
Czech Republic,CZ,CZE,2013,List PR
Czech Republic,CZ,CZE,2010,List PR
Czech Republic,CZ,CZE,2006,List PR
Czech Republic,CZ,CZE,2002,List PR
Czech Republic,CZ,CZE,1998,List PR
Czech Republic,CZ,CZE,1996,List PR
Czech Republic,CZ,CZE,1992,List PR
Denmark,DK,DNK,2019,List PR
Denmark,DK,DNK,2015,List PR
Denmark,DK,DNK,2011,List PR
Denmark,DK,DNK,2007,List PR
Denmark,DK,DNK,2005,List PR
Denmark,DK,DNK,2001,List PR
Denmark,DK,DNK,1998,List PR
Denmark,DK,DNK,1994,List PR
Estonia,EE,EST,2019,List PR
Estonia,EE,EST,2015,List PR
Estonia,EE,EST,2011,List PR
Estonia,EE,EST,2007,List PR
Estonia,EE,EST,2003,List PR
Estonia,EE,EST,1999,List PR
Estonia,EE,EST,1995,List PR
Estonia,EE,EST,1992,List PR
Finland,FI,FIN,2019,List PR
Finland,FI,FIN,2015,List PR
Finland,FI,FIN,2011,List PR
Finland,FI,FIN,2007,List PR
Finland,FI,FIN,2003,List PR
Finland,FI,FIN,1999,List PR
Finland,FI,FIN,1995,List PR
Finland,FI,FIN,1991,List PR
France,FR,FRA,2022,TRS
France,FR,FRA,2017,TRS
France,FR,FRA,2012,TRS
France,FR,FRA,2007,TRS
France,FR,FRA,2002,TRS
France,FR,FRA,1997,TRS
France,FR,FRA,1993,TRS
Germany,DE,DEU,2021,MMP
Germany,DE,DEU,2017,MMP
Germany,DE,DEU,2013,MMP
Germany,DE,DEU,2009,MMP
Germany,DE,DEU,2005,MMP
Germany,DE,DEU,2002,MMP
Germany,DE,DEU,1998,MMP
Germany,DE,DEU,1994,MMP
Gibraltar,GI,GIB,2019,LV
Gibraltar,GI,GIB,2015,LV
Gibraltar,GI,GIB,2011,LV
Gibraltar,GI,GIB,2007,LV
Greece,GR,GRC,2019,List PR
Greece,GR,GRC,2015,List PR
Greece,GR,GRC,2012,List PR
Greece,GR,GRC,2009,List PR
Greece,GR,GRC,2007,List PR
Greece,GR,GRC,2004,List PR
Greece,GR,GRC,2000,List PR
