"","countryname","edate","parties","wgv","year"
"1","Denmark","04/12/1973",10,324.1483,"1973"
"2","Denmark","05/06/2019",10,257.16307924,"2019"
"3","Denmark","05/09/1950",6,158.592222222222,"1950"
"4","Denmark","08/02/2005",7,357.517789673469,"2005"
"5","Denmark","08/09/1987",9,258.587652839506,"1987"
"6","Denmark","08/12/1981",9,294.479259259259,"1981"
"7","Denmark","09/01/1975",9,326.831604938272,"1975"
"8","Denmark","10/01/1984",9,323.840928666667,"1984"
"9","Denmark","10/05/1988",8,416.1216918125,"1988"
"10","Denmark","11/03/1998",10,418.12874451,"1998"
"11","Denmark","12/12/1990",8,405.57943915625,"1990"
"12","Denmark","13/11/2007",8,406.66769009375,"2007"
"13","Denmark","14/05/1957",6,292.820555555556,"1957"
"14","Denmark","15/02/1977",11,193.16132231405,"1977"
"15","Denmark","15/09/2011",8,443.588875703125,"2011"
"16","Denmark","15/11/1960",6,543.187885972222,"1960"
"17","Denmark","18/06/2015",9,1049.10313762963,"2015"
"18","Denmark","20/11/2001",8,448.982687390625,"2001"
"19","Denmark","21/04/1953",6,189.812777777778,"1953"
"20","Denmark","21/09/1971",5,319.4,"1971"
"21","Denmark","21/09/1994",8,290.51922759375,"1994"
"22","Denmark","22/09/1953",6,192.755183472222,"1953"
"23","Denmark","22/09/1964",6,179.852180138889,"1964"
"24","Denmark","22/11/1966",6,225.939986805556,"1966"
"25","Denmark","23/01/1968",6,130.031111111111,"1968"
"26","Denmark","23/10/1979",10,604.4099,"1979"
"27","Denmark","28/10/1947",6,208.300833333333,"1947"
"28","Denmark","30/10/1945",7,160.128849469388,"1945"
"29","Finland","02/07/1948",6,755.227484083333,"1948"
"30","Finland","03/01/1972",7,663.538775795918,"1972"
"31","Finland","03/07/1951",6,927.465942527778,"1951"
"32","Finland","05/02/1962",6,853.964804972222,"1962"
"33","Finland","07/07/1958",6,822.836413861111,"1958"
"34","Finland","08/03/1954",6,1286.17574238889,"1954"
"35","Finland","13/03/1979",7,1048.41503542857,"1979"
"36","Finland","14/04/2019",8,110.531928375,"2019"
"37","Finland","16/03/1970",7,688.066864571429,"1970"
"38","Finland","16/03/1987",7,812.021223755102,"1987"
"39","Finland","16/03/2003",7,392.733916938776,"2003"
"40","Finland","17/03/1991",8,523.495026296875,"1991"
"41","Finland","17/04/2011",8,245.451721375,"2011"
"42","Finland","18/03/1945",6,992.700910138889,"1945"
"43","Finland","18/03/2007",8,201.1279033125,"2007"
"44","Finland","19/03/1995",7,427.523346367347,"1995"
"45","Finland","19/04/2015",8,167.92877590625,"2015"
"46","Finland","21/03/1966",7,1159.39553187755,"1966"
"47","Finland","21/03/1983",6,1004.84896372222,"1983"
"48","Finland","21/03/1999",7,437.671257428571,"1999"
"49","Finland","22/09/1975",7,581.764335755102,"1975"
"50","France","02/01/1956",7,247.379266122449,"1956"
"51","France","04/03/1973",6,183.636944444444,"1973"
"52","France","05/03/1967",5,237.0472,"1967"
"53","France","05/06/1988",4,240.48357025,"1988"
"54","France","09/06/2002",4,177.511893875,"2002"
"55","France","10/06/2007",3,59.8612691111111,"2007"
"56","France","10/06/2012",5,164.1156772,"2012"
"57","France","10/11/1946",5,224.17036128,"1946"
"58","France","11/06/2017",6,116.009380138889,"2017"
"59","France","12/03/1978",5,205.06031328,"1978"
"60","France","14/06/1981",5,208.91653728,"1981"
"61","France","16/03/1986",5,246.5024336,"1986"
"62","France","17/06/1951",6,207.221916416667,"1951"
"63","France","18/11/1962",6,196.103055555556,"1962"
"64","France","21/03/1993",4,170.3930198125,"1993"
"65","France","23/06/1968",5,250.7808,"1968"
"66","France","23/11/1958",6,296.206666666667,"1958"
"67","France","25/05/1997",4,107.219921125,"1997"
"68","Germany","02/12/1990",4,147.7788725,"1990"
"69","Germany","03/10/1976",3,106.942677111111,"1976"
"70","Germany","05/10/1980",3,82.2688773333333,"1980"
"71","Germany","06/03/1983",4,166.6366085,"1983"
"72","Germany","06/09/1953",5,272.16495024,"1953"
"73","Germany","14/08/1949",8,444.309331375,"1949"
"74","Germany","15/09/1957",4,355.3912299375,"1957"
"75","Germany","16/10/1994",5,169.54528256,"1994"
"76","Germany","17/09/1961",3,109.120318666667,"1961"
"77","Germany","18/09/2005",5,102.48612104,"2005"
"78","Germany","19/09/1965",3,190.453658222222,"1965"
"79","Germany","19/11/1972",3,207.574880222222,"1972"
"80","Germany","22/09/2002",4,71.9464348125,"2002"
"81","Germany","22/09/2013",4,79.1261240625,"2013"
"82","Germany","24/09/2017",6,162.366027,"2017"
"83","Germany","25/01/1987",4,129.700483125,"1987"
"84","Germany","26/09/2021",6,125.566600861111,"2021"
"85","Germany","27/09/1998",5,123.35920368,"1998"
"86","Germany","27/09/2009",5,92.56784528,"2009"
"87","Germany","28/09/1969",3,128.181931111111,"1969"
"88","Ireland","04/02/1948",5,630.53280976,"1948"
"89","Ireland","04/10/1961",3,418.146666666667,"1961"
"90","Ireland","05/03/1957",4,1388.803125,"1957"
"91","Ireland","06/06/1997",5,128.99252096,"1997"
"92","Ireland","07/04/1965",3,248.046666666667,"1965"
"93","Ireland","11/06/1981",3,85.9955555555556,"1981"
"94","Ireland","15/06/1989",5,272.64448944,"1989"
"95","Ireland","16/06/1969",3,279.495555555556,"1969"
"96","Ireland","16/06/1977",3,51.7733333333333,"1977"
"97","Ireland","17/02/1987",5,254.37917288,"1987"
"98","Ireland","17/05/2002",6,156.129893027778,"2002"
"99","Ireland","18/02/1982",3,439.475802666667,"1982"
"100","Ireland","18/05/1954",5,1113.37924496,"1954"
"101","Ireland","24/05/2007",5,96.82028472,"2007"
"102","Ireland","24/11/1982",3,362.353342222222,"1982"
"103","Ireland","25/02/2011",5,291.5030436,"2011"
"104","Ireland","25/11/1992",5,208.22278368,"1992"
"105","Ireland","26/02/2016",5,317.42557784,"2016"
"106","Ireland","28/02/1973",3,676.64,"1973"
"107","Ireland","30/05/1951",4,950.8741644375,"1951"
"108","Italy","02/06/1946",5,203.31598792,"1946"
"109","Italy","03/06/1979",7,251.892590734694,"1979"
"110","Italy","04/03/2018",6,183.240930972222,"2018"
"111","Italy","06/04/1992",10,384.91401106,"1992"
"112","Italy","07/05/1972",7,157.884266,"1972"
"113","Italy","07/06/1953",6,209.718070194444,"1953"
"114","Italy","10/04/2006",10,290.133696,"2006"
"115","Italy","13/04/2008",5,405.38396544,"2008"
"116","Italy","13/05/2001",7,59.2885924897959,"2001"
"117","Italy","14/06/1987",8,516.74083790625,"1987"
"118","Italy","18/04/1948",5,353.37602968,"1948"
"119","Italy","19/05/1968",5,133.98886456,"1968"
"120","Italy","20/06/1976",6,149.559374277778,"1976"
"121","Italy","21/04/1996",9,449.325512716049,"1996"
"122","Italy","24/02/2013",6,371.915762222222,"2013"
"123","Italy","25/05/1958",6,131.058644777778,"1958"
"124","Italy","26/06/1983",7,112.235621795918,"1983"
"125","Italy","28/03/1994",8,186.546785,"1994"
"126","Italy","28/04/1963",6,126.298522111111,"1963"
"127","Netherlands","03/05/1994",6,99.6338221666667,"1994"
"128","Netherlands","06/05/1998",6,99.7633996666667,"1998"
"129","Netherlands","06/09/1989",5,59.0984,"1989"
"130","Netherlands","07/07/1948",6,206.88708,"1948"
"131","Netherlands","08/09/1982",4,82.841875,"1982"
"132","Netherlands","09/06/2010",8,134.006139203125,"2010"
"133","Netherlands","12/03/1959",5,166.028,"1959"
"134","Netherlands","12/09/2012",8,152.601929609375,"2012"
"135","Netherlands","13/06/1956",5,142.7576,"1956"
"136","Netherlands","15/02/1967",6,105.802222222222,"1967"
"137","Netherlands","15/03/2017",10,290.55255774,"2017"
"138","Netherlands","15/05/1963",5,124.1136,"1963"
"139","Netherlands","15/05/2002",8,83.29600978125,"2002"
"140","Netherlands","17/05/1946",6,136.748333333333,"1946"
"141","Netherlands","21/05/1986",4,35.288125,"1986"
"142","Netherlands","22/01/2003",7,125.775071428571,"2003"
"143","Netherlands","22/11/2006",7,147.078380367347,"2006"
"144","Netherlands","25/05/1977",4,97.618125,"1977"
"145","Netherlands","25/06/1952",5,161.596,"1952"
"146","Netherlands","26/05/1981",4,48.710625,"1981"
"147","Netherlands","28/04/1971",7,84.3371428571429,"1971"
"148","Netherlands","29/11/1972",8,109.02,"1972"
"149","Norway","07/09/1969",5,78.3512,"1969"
"150","Norway","07/10/1957",5,117.8912,"1957"
"151","Norway","08/09/1985",5,77.2896,"1985"
"152","Norway","08/10/1945",6,359.5125,"1945"
"153","Norway","09/09/1973",6,435.999166666667,"1973"
"154","Norway","09/09/2013",7,58.0445333061225,"2013"
"155","Norway","10/09/2001",6,154.828184166667,"2001"
"156","Norway","10/10/1949",5,168.9968,"1949"
"157","Norway","11/09/1961",5,122.768,"1961"
"158","Norway","11/09/1977",4,54.76125,"1977"
"159","Norway","11/09/1989",6,115.196666666667,"1989"
"160","Norway","11/09/2017",7,80.8321893061225,"2017"
"161","Norway","12/09/1965",5,108.656,"1965"
"162","Norway","12/09/2005",7,126.122419673469,"2005"
"163","Norway","12/10/1953",5,187.9992,"1953"
"164","Norway","13/09/1993",6,201.441604638889,"1993"
"165","Norway","14/09/1981",6,172.499722222222,"1981"
"166","Norway","14/09/2009",6,86.1208068888889,"2009"
"167","Norway","16/09/1997",7,107.774825387755,"1997"
"168","Spain","01/03/1979",5,171.00954768,"1979"
"169","Spain","03/03/1996",4,96.9937950625,"1996"
"170","Spain","06/06/1993",4,68.1084535,"1993"
"171","Spain","09/03/2008",3,86.663912,"2008"
"172","Spain","10/11/2019",7,210.496342897959,"2019"
"173","Spain","12/03/2000",4,113.3619310625,"2000"
"174","Spain","14/03/2004",4,169.67486625,"2004"
"175","Spain","15/06/1977",5,270.43816928,"1977"
"176","Spain","20/11/2011",4,120.5186380625,"2011"
"177","Spain","20/12/2015",8,209.48295059375,"2015"
"178","Spain","22/06/1986",6,81.59783625,"1986"
"179","Spain","26/06/2016",8,200.37678071875,"2016"
"180","Spain","28/04/2019",6,171.479163138889,"2019"
"181","Spain","28/10/1982",6,131.859715861111,"1982"
"182","Spain","29/10/1989",5,80.00314592,"1989"
"183","Sweden","01/06/1958",5,584.4824,"1958"
"184","Sweden","09/09/2018",8,274.560476875,"2018"
"185","Sweden","14/09/2014",8,228.588842296875,"2014"
"186","Sweden","15/09/1968",4,416.21625,"1968"
"187","Sweden","15/09/1985",5,284.624,"1985"
"188","Sweden","15/09/1991",7,292.64912877551,"1991"
"189","Sweden","15/09/2002",7,247.911940612245,"2002"
"190","Sweden","16/09/1973",5,197.6168,"1973"
"191","Sweden","16/09/1979",5,169.7008,"1979"
"192","Sweden","17/09/1944",5,358.36185344,"1944"
"193","Sweden","17/09/2006",7,162.700345387755,"2006"
"194","Sweden","18/09/1960",5,411.652,"1960"
"195","Sweden","18/09/1988",6,318.060555555556,"1988"
"196","Sweden","18/09/1994",7,377.430833918367,"1994"
"197","Sweden","19/09/1948",5,509.0664,"1948"
"198","Sweden","19/09/1976",5,311.1272,"1976"
"199","Sweden","19/09/1982",5,211.7968,"1982"
"200","Sweden","19/09/2010",8,240.360060453125,"2010"
"201","Sweden","20/09/1964",5,594.4964968,"1964"
"202","Sweden","20/09/1970",5,227.72,"1970"
"203","Sweden","21/09/1952",5,428.9984,"1952"
"204","Sweden","21/09/1998",7,320.404473428572,"1998"
"205","Sweden","26/09/1956",5,461.5896,"1956"
"206","United Kingdom","01/05/1997",3,73.7337035555556,"1997"
"207","United Kingdom","03/05/1979",2,117.3875,"1979"
"208","United Kingdom","05/05/2005",3,69.7027217777778,"2005"
"209","United Kingdom","05/07/1945",2,85.4625,"1945"
"210","United Kingdom","06/05/2010",3,49.0536,"2010"
"211","United Kingdom","07/05/2015",3,62.3642562222222,"2015"
"212","United Kingdom","07/06/2001",3,37.0522671111111,"2001"
"213","United Kingdom","08/06/2017",3,58.0150677777778,"2017"
"214","United Kingdom","08/10/1959",2,63.0475,"1959"
"215","United Kingdom","09/04/1992",3,106.415555555556,"1992"
"216","United Kingdom","09/06/1983",3,91.2577777777778,"1983"
"217","United Kingdom","10/10/1974",3,96.42,"1974"
"218","United Kingdom","11/06/1987",3,67.9363731111111,"1987"
"219","United Kingdom","12/12/2019",3,127.177695333333,"2019"
"220","United Kingdom","15/10/1964",2,32.59,"1964"
"221","United Kingdom","18/06/1970",2,102.6675,"1970"
"222","United Kingdom","23/02/1950",2,45.6025,"1950"
"223","United Kingdom","25/10/1951",2,90.7275,"1951"
"224","United Kingdom","26/05/1955",2,71.27,"1955"
"225","United Kingdom","28/02/1974",3,134.786666666667,"1974"
"226","United Kingdom","31/03/1966",2,50.4975,"1966"
