"","countryname","edate","year","parties","wgv","elsys","systfam"
"1","Denmark","05/06/2019","2019",10,257.16307924,"List PR","Proportional Representation"
"2","Denmark","08/02/2005","2005",7,357.517789673469,"List PR","Proportional Representation"
"3","Denmark","11/03/1998","1998",10,418.12874451,"List PR","Proportional Representation"
"4","Denmark","13/11/2007","2007",8,406.66769009375,"List PR","Proportional Representation"
"5","Denmark","15/09/2011","2011",8,443.588875703125,"List PR","Proportional Representation"
"6","Denmark","18/06/2015","2015",9,1049.10313762963,"List PR","Proportional Representation"
"7","Denmark","20/11/2001","2001",8,448.982687390625,"List PR","Proportional Representation"
"8","Denmark","21/09/1994","1994",8,290.51922759375,"List PR","Proportional Representation"
"9","Finland","14/04/2019","2019",8,110.531928375,"List PR","Proportional Representation"
"10","Finland","16/03/2003","2003",7,392.733916938776,"List PR","Proportional Representation"
"11","Finland","17/03/1991","1991",8,523.495026296875,"List PR","Proportional Representation"
"12","Finland","17/04/2011","2011",8,245.451721375,"List PR","Proportional Representation"
"13","Finland","18/03/2007","2007",8,201.1279033125,"List PR","Proportional Representation"
"14","Finland","19/03/1995","1995",7,427.523346367347,"List PR","Proportional Representation"
"15","Finland","19/04/2015","2015",8,167.92877590625,"List PR","Proportional Representation"
"16","Finland","21/03/1999","1999",7,437.671257428571,"List PR","Proportional Representation"
"17","France","09/06/2002","2002",4,177.511893875,"TRS","Plurality"
"18","France","10/06/2007","2007",3,59.8612691111111,"TRS","Plurality"
"19","France","10/06/2012","2012",5,164.1156772,"TRS","Plurality"
"20","France","11/06/2017","2017",6,116.009380138889,"TRS","Plurality"
"21","France","21/03/1993","1993",4,170.3930198125,"TRS","Plurality"
"22","France","25/05/1997","1997",4,107.219921125,"TRS","Plurality"
"23","Germany","16/10/1994","1994",5,169.54528256,"MMP","Mixed"
"24","Germany","18/09/2005","2005",5,102.48612104,"MMP","Mixed"
"25","Germany","22/09/2002","2002",4,71.9464348125,"MMP","Mixed"
"26","Germany","22/09/2013","2013",4,79.1261240625,"MMP","Mixed"
"27","Germany","24/09/2017","2017",6,162.366027,"MMP","Mixed"
"28","Germany","26/09/2021","2021",6,125.566600861111,"MMP","Mixed"
"29","Germany","27/09/1998","1998",5,123.35920368,"MMP","Mixed"
"30","Germany","27/09/2009","2009",5,92.56784528,"MMP","Mixed"
"31","Ireland","06/06/1997","1997",5,128.99252096,"STV","Plurality"
"32","Ireland","17/05/2002","2002",6,156.129893027778,"STV","Plurality"
"33","Ireland","24/05/2007","2007",5,96.82028472,"STV","Plurality"
"34","Ireland","25/02/2011","2011",5,291.5030436,"STV","Plurality"
"35","Ireland","25/11/1992","1992",5,208.22278368,"STV","Plurality"
"36","Ireland","26/02/2016","2016",5,317.42557784,"STV","Plurality"
"37","Italy","04/03/2018","2018",6,183.240930972222,"Parallel","Mixed"
"38","Italy","06/04/1992","1992",10,384.91401106,"List PR","Proportional Representation"
"39","Italy","10/04/2006","2006",10,290.133696,"List PR","Proportional Representation"
"40","Italy","13/04/2008","2008",5,405.38396544,"List PR","Proportional Representation"
"41","Italy","13/05/2001","2001",7,59.2885924897959,"MMP","Mixed"
"42","Italy","21/04/1996","1996",9,449.325512716049,"MMP","Mixed"
"43","Italy","24/02/2013","2013",6,371.915762222222,"List PR","Proportional Representation"
"44","Italy","28/03/1994","1994",8,186.546785,"MMP","Mixed"
"45","Netherlands","03/05/1994","1994",6,99.6338221666667,"List PR","Proportional Representation"
"46","Netherlands","06/05/1998","1998",6,99.7633996666667,"List PR","Proportional Representation"
"47","Netherlands","09/06/2010","2010",8,134.006139203125,"List PR","Proportional Representation"
"48","Netherlands","12/09/2012","2012",8,152.601929609375,"List PR","Proportional Representation"
"49","Netherlands","15/03/2017","2017",10,290.55255774,"List PR","Proportional Representation"
"50","Netherlands","15/05/2002","2002",8,83.29600978125,"List PR","Proportional Representation"
"51","Netherlands","22/01/2003","2003",7,125.775071428571,"List PR","Proportional Representation"
"52","Netherlands","22/11/2006","2006",7,147.078380367347,"List PR","Proportional Representation"
"53","Norway","09/09/2013","2013",7,58.0445333061225,"List PR","Proportional Representation"
"54","Norway","10/09/2001","2001",6,154.828184166667,"List PR","Proportional Representation"
"55","Norway","11/09/2017","2017",7,80.8321893061225,"List PR","Proportional Representation"
"56","Norway","12/09/2005","2005",7,126.122419673469,"List PR","Proportional Representation"
"57","Norway","13/09/1993","1993",6,201.441604638889,"List PR","Proportional Representation"
"58","Norway","14/09/2009","2009",6,86.1208068888889,"List PR","Proportional Representation"
"59","Norway","16/09/1997","1997",7,107.774825387755,"List PR","Proportional Representation"
"60","Spain","03/03/1996","1996",4,96.9937950625,"List PR","Proportional Representation"
"61","Spain","06/06/1993","1993",4,68.1084535,"List PR","Proportional Representation"
"62","Spain","09/03/2008","2008",3,86.663912,"List PR","Proportional Representation"
"63","Spain","10/11/2019","2019",7,210.496342897959,"List PR","Proportional Representation"
"64","Spain","12/03/2000","2000",4,113.3619310625,"List PR","Proportional Representation"
"65","Spain","14/03/2004","2004",4,169.67486625,"List PR","Proportional Representation"
"66","Spain","20/11/2011","2011",4,120.5186380625,"List PR","Proportional Representation"
"67","Spain","20/12/2015","2015",8,209.48295059375,"List PR","Proportional Representation"
"68","Spain","26/06/2016","2016",8,200.37678071875,"List PR","Proportional Representation"
"69","Spain","28/04/2019","2019",6,171.479163138889,"List PR","Proportional Representation"
"70","Sweden","09/09/2018","2018",8,274.560476875,"List PR","Proportional Representation"
"71","Sweden","14/09/2014","2014",8,228.588842296875,"List PR","Proportional Representation"
"72","Sweden","15/09/1991","1991",7,292.64912877551,"List PR","Proportional Representation"
"73","Sweden","15/09/2002","2002",7,247.911940612245,"List PR","Proportional Representation"
"74","Sweden","17/09/2006","2006",7,162.700345387755,"List PR","Proportional Representation"
"75","Sweden","18/09/1994","1994",7,377.430833918367,"List PR","Proportional Representation"
"76","Sweden","19/09/2010","2010",8,240.360060453125,"List PR","Proportional Representation"
"77","Sweden","21/09/1998","1998",7,320.404473428572,"List PR","Proportional Representation"
"78","United Kingdom","01/05/1997","1997",3,73.7337035555556,"FPTP","Plurality"
"79","United Kingdom","05/05/2005","2005",3,69.7027217777778,"FPTP","Plurality"
"80","United Kingdom","06/05/2010","2010",3,49.0536,"FPTP","Plurality"
"81","United Kingdom","07/05/2015","2015",3,62.3642562222222,"FPTP","Plurality"
"82","United Kingdom","07/06/2001","2001",3,37.0522671111111,"FPTP","Plurality"
"83","United Kingdom","08/06/2017","2017",3,58.0150677777778,"FPTP","Plurality"
"84","United Kingdom","09/04/1992","1992",3,106.415555555556,"FPTP","Plurality"
"85","United Kingdom","12/12/2019","2019",3,127.177695333333,"FPTP","Plurality"
